"","pert_iname","mean","n","median","sd","sRGES"
"58","acetyl-geranyl-cysteine",-0.0632768243155542,5,-0.0633584279961392,0.00320616366833508,-0.0632768243155542
"9172","chelidonine",-0.0632734505134192,13,-0.0633757634474743,0.00370364764351948,-0.0632734505134192
"229","atovaquone",-0.0632733376842541,3,-0.0633584279961392,0.0027935229824946,-0.0632733376842541
"11556","SU-4312",-0.0632722430034601,8,-0.058982538550793,0.0120548074639981,-0.0632722430034601
"11478","SN-38",-0.0632668067912471,71,-0.0637145724858426,0.00806800222350804,-0.0632668067912471
"7473","BRD-K81813927",-0.0632636117841332,4,-0.064018550655874,0.00715510627744258,-0.0632636117841332
"10948","QW-BI-011",-0.0632636117841332,4,-0.064018550655874,0.00715510627744258,-0.0632636117841332
"2713","BRD-K25144184",-0.0632607013955311,6,-0.0630533482355332,0.00564293497297195,-0.0632607013955311
"11576","sulindac",-0.0632601051679712,4,-0.0608942087662311,0.00504124955513026,-0.0632601051679712
"10052","ketoconazole",-0.0632579644016741,8,-0.0644034224899599,0.00595501217092762,-0.0632579644016741
"6665","BRD-K72490684",-0.0632577245389857,4,-0.062484362799939,0.0030497391451433,-0.0632577245389857
"940","BRD-K03257659",-0.0632543245297144,4,-0.0632307925283116,0.00706271578895792,-0.0632543245297144
"59","acetylcholine",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"351","BJM-AF-64",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"3047","BRD-K29345712",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"3688","BRD-K37124285",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"6871","BRD-K74777906",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"6948","BRD-K75641083",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"7201","BRD-K78603557",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"9391","dibutyrylcyclic-gmp",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"9559","eprosartan",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
"10087","KU-C103658",-0.0632480930574033,2,-0.0632480930574033,0.0039503438743011,-0.0632480930574033
